address,total_trades,winning_trades,win_rate,total_pnl_sol,total_pnl_usd,avg_pnl_per_trade_usd,best_trade_usd,worst_trade_usd,consistency_score,first_seen,last_active,solscan_url
4E5E6ganigHMVrufoyThBQvRZmBAtprc1X5zKXLMN7T8,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/4E5E6ganigHMVrufoyThBQvRZmBAtprc1X5zKXLMN7T8
8iEggpDPJPMNTgHNgFsBzwQQurPKj2jGv9EBRmycJJgG,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/8iEggpDPJPMNTgHNgFsBzwQQurPKj2jGv9EBRmycJJgG
Bua8zamuVUoGUediJYR3Bxamkk8qDApQAX4wDJBd6NLC,1,1,100.00%,0.002,0.17,0.17,0.17,0.17,0.0,2026-02-03,2026-02-03,https://solscan.io/account/Bua8zamuVUoGUediJYR3Bxamkk8qDApQAX4wDJBd6NLC
4FxdtbKEf9BNg7meF2mVWadzXp7QRngJs4cQG2pmKfQf,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/4FxdtbKEf9BNg7meF2mVWadzXp7QRngJs4cQG2pmKfQf
DfPNxd314nwgZ18GYSHodTXbMhwLFTPdaeV1JaVSMC9d,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/DfPNxd314nwgZ18GYSHodTXbMhwLFTPdaeV1JaVSMC9d
5phYDgguaZ7J3tArLoxTY5mMbdxzERTzPDFA12kWChcj,1,1,100.00%,0.0055,0.45,0.45,0.45,0.45,0.0,2025-01-20,2025-01-20,https://solscan.io/account/5phYDgguaZ7J3tArLoxTY5mMbdxzERTzPDFA12kWChcj
7Cm4Dk3biBRihv9A2xJ7UxHuKhp48FBy9XtQjt5Kptkb,4,0,0.00%,-4.9477,-407.34,-101.84,-4.12,-280.0,0.0,2026-02-03,2026-02-04,https://solscan.io/account/7Cm4Dk3biBRihv9A2xJ7UxHuKhp48FBy9XtQjt5Kptkb
J4Y7NJjP6agzCQSShUodo6XXg2w1mtdz4NUfpnsbezAz,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/J4Y7NJjP6agzCQSShUodo6XXg2w1mtdz4NUfpnsbezAz
AebC4EUCdsRaVYmb2iKANTBPfyrYwqYHmVAWN3kL2CBL,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/AebC4EUCdsRaVYmb2iKANTBPfyrYwqYHmVAWN3kL2CBL
5dUr8rt3197Coy6wTQmeAFSqb3fcbrFmMs34ptBj8u9J,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/5dUr8rt3197Coy6wTQmeAFSqb3fcbrFmMs34ptBj8u9J
4ZJhPQAgUseCsWhKvJLTmmRRUV74fdoTpQLNfKoekbPY,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/4ZJhPQAgUseCsWhKvJLTmmRRUV74fdoTpQLNfKoekbPY
7GyAsVqy98z7rWMTh3rZmcfqVJiQcAjHMBzkPJ1it1CQ,1,0,0.00%,-0.005,-0.41,-0.41,-0.41,-0.41,0.0,2025-08-20,2025-08-20,https://solscan.io/account/7GyAsVqy98z7rWMTh3rZmcfqVJiQcAjHMBzkPJ1it1CQ
9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM
6LDiQyc4oSW8jqRTepdqosEq7M2EqM7cSVDZk4BV9gi1,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/6LDiQyc4oSW8jqRTepdqosEq7M2EqM7cSVDZk4BV9gi1
GzcDtVru1DNVqsDAb7nZSLdEeoccGUtVBQyaCwbMzvQB,5,2,40.00%,-0.1106,-9.1,-1.82,24.13,-12.35,0.0,2026-03-09,2026-03-30,https://solscan.io/account/GzcDtVru1DNVqsDAb7nZSLdEeoccGUtVBQyaCwbMzvQB
JUPs5LZpsq5RYoRGBdqbbMpusdFxUUKLop4n9r7LSsh,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/JUPs5LZpsq5RYoRGBdqbbMpusdFxUUKLop4n9r7LSsh
AW8mZaKJe1ufkStMsnR8wM47RcgC5ZMMsoPmFcWvs3SG,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/AW8mZaKJe1ufkStMsnR8wM47RcgC5ZMMsoPmFcWvs3SG
11111111111111111111111111111111,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/11111111111111111111111111111111
1YukAxo5AycHTrGApBbHyfzSysboifD4YBtGGwwTStU,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/1YukAxo5AycHTrGApBbHyfzSysboifD4YBtGGwwTStU
3ZjVW1ajEhVPgHhoVijwTc6T7zp6QELCPrk5kC3EGwAV,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/3ZjVW1ajEhVPgHhoVijwTc6T7zp6QELCPrk5kC3EGwAV
B6ieE5YTd4Gk1Tk8amQc2ttyXSXKT2HGRuu3JLUXUe7J,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/B6ieE5YTd4Gk1Tk8amQc2ttyXSXKT2HGRuu3JLUXUe7J
35ukP14B5aNRzzNgg1vRtNrQPoPnaWZAq3TbLJXi9v9h,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/35ukP14B5aNRzzNgg1vRtNrQPoPnaWZAq3TbLJXi9v9h
BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K
7UbiUnSZw9uts8pxv4sfAv3XBVpAk2ycCkfG4cbpCray,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/7UbiUnSZw9uts8pxv4sfAv3XBVpAk2ycCkfG4cbpCray
D2SXYQee2NW3KrQFQc8f1RGg3j3CKyZQDU7GntBjV1PG,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/D2SXYQee2NW3KrQFQc8f1RGg3j3CKyZQDU7GntBjV1PG
3X9M4kG5jupr2W4ExQoLFvXKzh32WLjpNtVAm1gpJnmk,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/3X9M4kG5jupr2W4ExQoLFvXKzh32WLjpNtVAm1gpJnmk
